"posteam","season","week","defteam","time_between_plays","expected_tbp"
"LV",2019,1,"DEN",47,30.0842115811163
"LV",2019,1,"DEN",45,31.7133093933252
"DEN",2019,1,"LV",6,34.501422277015
"DEN",2019,1,"LV",27,31.4316035415145
"DEN",2019,1,"LV",29,33.0950656249599
"DEN",2019,1,"LV",30,27.1232638202946
"DEN",2019,1,"LV",5,24.9763841689744
"DEN",2019,1,"LV",18,30.2953531379901
"DEN",2019,1,"LV",25,25.6659507097145
"LV",2019,1,"DEN",4,28.9554626903187
"LV",2019,1,"DEN",11,12.6323719510743
"LV",2019,1,"DEN",45,15.5028621035277
"DET",2019,1,"ARI",33,35.5055935046668
"DET",2019,1,"ARI",34,32.4925192463392
"DET",2019,1,"ARI",37,30.4045484988724
"DET",2019,1,"ARI",37,35.944097956876
"ARI",2019,1,"DET",4,29.4040444316776
"ARI",2019,1,"DET",19,27.3494610897732
"ARI",2019,1,"DET",37,29.735511999549
"DET",2019,1,"ARI",30,40.6490416945224
"DET",2019,1,"ARI",39,32.9178594271116
"DET",2019,1,"ARI",5,30.2357752777489
"ARI",2019,1,"DET",33,34.1804543217153
"ARI",2019,1,"DET",4,30.6089276375788
"ARI",2019,1,"DET",25,30.3119066717399
"ARI",2019,1,"DET",5,29.1984085302039
"ARI",2019,1,"DET",43,22.2365725321203
"ARI",2019,1,"DET",29,34.3637088263782
"ARI",2019,1,"DET",40,33.3947332514405
"DET",2019,1,"ARI",36,30.6718083811644
"DET",2019,1,"ARI",46,33.1002375156998
"DET",2019,1,"ARI",43,33.6479581379116
"DET",2019,1,"ARI",30,32.4274926595764
"DET",2019,1,"ARI",37,34.9779376691137
"DET",2019,1,"ARI",37,29.8909552935238
"DET",2019,1,"ARI",42,29.4460866752699
"ARI",2019,1,"DET",30,29.8881771519225
"ARI",2019,1,"DET",5,28.0674966092071
"DET",2019,1,"ARI",36,32.8185324313617
"ARI",2019,1,"DET",26,31.4030587207977
"ARI",2019,1,"DET",31,29.7441907582626
"ARI",2019,1,"DET",48,18.0333833987134
"DET",2019,1,"ARI",36,28.9123909800779
"DET",2019,1,"ARI",46,37.0648384053627
"DET",2019,1,"ARI",39,31.8713475590845
"DET",2019,1,"ARI",43,45.9976070701689
"DET",2019,1,"ARI",35,34.2449032786589
"DET",2019,1,"ARI",40,34.3384289317781
"DET",2019,1,"ARI",36,34.7158103061026
"DET",2019,1,"ARI",34,31.9379905342409
"DET",2019,1,"ARI",26,28.9937997116761
"DET",2019,1,"ARI",27,31.0434554237927
"ARI",2019,1,"DET",26,26.8276613352838
"ARI",2019,1,"DET",35,27.1845938215705
"ARI",2019,1,"DET",31,28.3840028832597
"ARI",2019,1,"DET",4,25.946347739897
"ARI",2019,1,"DET",6,9.14478680721204
"ARI",2019,1,"DET",8,14.0726627095783
"ARI",2019,1,"DET",6,9.20186768851873
"DET",2019,1,"ARI",6,14.1797013819622
"DET",2019,1,"ARI",6,20.0622907974337
"DET",2019,1,"ARI",0,14.5305768787903
"DET",2019,1,"ARI",6,16.5747038426127
"DET",2019,1,"ARI",22,17.0582305819227
"DET",2019,1,"ARI",4,14.2087527546812
"DET",2019,1,"ARI",4,13.3287599956577
"ARI",2019,1,"DET",7,25.8430086459741
"ARI",2019,1,"DET",41,15.6443636943264
"DET",2019,1,"ARI",26,24.7549569361698
"DET",2019,1,"ARI",49,30.8847816263757
"DET",2019,1,"ARI",49,23.130973030386
"ARI",2019,1,"DET",32,28.0494811302519
"ARI",2019,1,"DET",4,25.8606860793518
"DET",2019,1,"ARI",40,28.060733670986
"DET",2019,1,"ARI",24,25.2024722330362
"DET",2019,1,"ARI",44,27.6691728682541
"ARI",2019,1,"DET",25,32.1821335316081
"ARI",2019,1,"DET",5,25.3859771451711
"ARI",2019,1,"DET",38,26.9974527067614
"ARI",2019,1,"DET",35,30.8395904936615
"ARI",2019,1,"DET",35,30.5968334002134
"ARI",2019,1,"DET",7,27.1255584647007
"DET",2019,1,"ARI",41,29.3111640392704
"DET",2019,1,"ARI",30,34.7852556409888
"DET",2019,1,"ARI",37,34.4657743396786
"DET",2019,1,"ARI",43,38.805512211957
"DET",2019,1,"ARI",38,31.9734138932639
"DET",2019,1,"ARI",4,29.8011129550023
"DET",2019,1,"ARI",39,34.9099838422771
"DET",2019,1,"ARI",0,27.7312063649228
"DET",2019,1,"ARI",4,26.8628096067746
"ARI",2019,1,"DET",4,24.5340070258498
"ARI",2019,1,"DET",0,22.4974401554875
"ARI",2019,1,"DET",22,26.6934517540502
"ARI",2019,1,"DET",28,22.020095034933
"ARI",2019,1,"DET",19,41.2794165343572
"ARI",2019,1,"DET",30,27.8688242010012
"ARI",2019,1,"DET",39,28.6049691413199
"ARI",2019,1,"DET",31,28.5376692424442
"ARI",2019,1,"DET",26,25.2213394448365
"ARI",2019,1,"DET",5,23.9359596655401
"DET",2019,1,"ARI",37,32.7076096129772
"DET",2019,1,"ARI",42,30.1195252261793
"ARI",2019,1,"DET",24,28.4600781441621
"ARI",2019,1,"DET",21,26.6317530643241
"ARI",2019,1,"DET",25,21.1150925421354
"ARI",2019,1,"DET",23,25.5387816677426
"ARI",2019,1,"DET",15,23.1227676911836
"ARI",2019,1,"DET",16,27.9307119259473
"ARI",2019,1,"DET",21,28.3956625020598
"ARI",2019,1,"DET",23,27.4444292314113
"DET",2019,1,"ARI",37,31.3619212160325
"DET",2019,1,"ARI",41,34.2920550287962
"DET",2019,1,"ARI",44,30.3804315813152
"DET",2019,1,"ARI",6,31.347457017168
"DET",2019,1,"ARI",6,31.6897826036653
"DET",2019,1,"ARI",6,27.1374934615708
